Bird,Infection,Diet,Day,eyescore
209,MG,lipid,1,2
209,MG,lipid,3,2.5
209,MG,lipid,5,3.5
209,MG,lipid,7,6
209,MG,lipid,10,5.5
209,MG,lipid,14,2
209,MG,lipid,16,2
209,MG,lipid,18,2
209,MG,lipid,21,1
209,MG,lipid,23,1
209,MG,lipid,25,1
209,MG,lipid,28,1
209,MG,lipid,30,0.5
209,MG,lipid,32,0.5
209,MG,lipid,35,0
619,MG,lipid,1,0
619,MG,lipid,3,1
619,MG,lipid,5,4
619,MG,lipid,7,4
619,MG,lipid,10,1.5
619,MG,lipid,14,0
619,MG,lipid,16,0
619,MG,lipid,18,0
619,MG,lipid,21,0
619,MG,lipid,23,0
619,MG,lipid,25,0
619,MG,lipid,28,0
619,MG,lipid,30,0
619,MG,lipid,32,0
619,MG,lipid,35,0
101LS,MG,lipid,1,0
101LS,MG,lipid,3,4
101LS,MG,lipid,5,6
101LS,MG,lipid,7,6
101LS,MG,lipid,10,4.5
101LS,MG,lipid,14,3.5
101LS,MG,lipid,16,2.5
101LS,MG,lipid,18,2
101LS,MG,lipid,21,2
101LS,MG,lipid,23,0
101LS,MG,lipid,25,0.5
101LS,MG,lipid,28,0.5
101LS,MG,lipid,30,0
101LS,MG,lipid,32,0
101LS,MG,lipid,35,0
AR1721 ,MG,lipid,1,0
AR1721 ,MG,lipid,3,3
AR1721 ,MG,lipid,5,6
AR1721 ,MG,lipid,7,4
AR1721 ,MG,lipid,10,4
AR1721 ,MG,lipid,14,1
AR1721 ,MG,lipid,16,1
AR1721 ,MG,lipid,18,0.5
AR1721 ,MG,lipid,21,0
AR1721 ,MG,lipid,23,0
AR1721 ,MG,lipid,25,0
AR1721 ,MG,lipid,28,0
AR1721 ,MG,lipid,30,0
AR1721 ,MG,lipid,32,0
AR1721 ,MG,lipid,35,0
Blue015,MG,lipid,1,0
Blue015,MG,lipid,3,1.5
Blue015,MG,lipid,5,6
Blue015,MG,lipid,7,6
Blue015,MG,lipid,10,6
Blue015,MG,lipid,14,4.5
Blue015,MG,lipid,16,5
Blue015,MG,lipid,18,4.5
Blue015,MG,lipid,21,4
Blue015,MG,lipid,23,4
Blue015,MG,lipid,25,3
Blue015,MG,lipid,28,3
Blue015,MG,lipid,30,3
Blue015,MG,lipid,32,3
Blue015,MG,lipid,35,2.5
blue031,MG,lipid,1,0
blue031,MG,lipid,3,4
blue031,MG,lipid,5,6
blue031,MG,lipid,7,6
blue031,MG,lipid,10,5.5
blue031,MG,lipid,14,4.5
blue031,MG,lipid,16,4
blue031,MG,lipid,18,3
blue031,MG,lipid,21,3
blue031,MG,lipid,23,3
blue031,MG,lipid,25,3
blue031,MG,lipid,28,3
blue031,MG,lipid,30,2.5
Blue043,MG,lipid,1,0
Blue043,MG,lipid,3,2
Blue043,MG,lipid,5,5.5
Blue043,MG,lipid,7,5
Blue043,MG,lipid,10,4
Blue043,MG,lipid,14,2.5
Blue043,MG,lipid,16,1.5
Blue043,MG,lipid,18,2
Blue043,MG,lipid,21,1.5
Blue043,MG,lipid,23,1
Blue043,MG,lipid,25,1
Blue043,MG,lipid,28,1
Blue043,MG,lipid,30,0
Blue043,MG,lipid,32,0
Blue043,MG,lipid,35,0
blue055,MG,lipid,1,0
blue055,MG,lipid,3,6
blue055,MG,lipid,5,6
blue055,MG,lipid,7,6
blue055,MG,lipid,10,4.5
blue055,MG,lipid,14,4
blue055,MG,lipid,16,3
blue055,MG,lipid,18,3
LD19239,MG,lipid,1,0
LD19239,MG,lipid,3,0.5
LD19239,MG,lipid,5,4
